Date,Day,Open,High,Low,Close,Adj Close,Volume
2018-09-14,Friday,11443.5,11523.25,11430.5498046875,11515.2001953125,11515.2001953125,276600
2018-09-17,Monday,11464.9501953125,11464.9501953125,11366.900390625,11377.75,11377.75,201400
2018-09-18,Tuesday,11381.5498046875,11411.4501953125,11268.9501953125,11278.900390625,11278.900390625,240900
2018-09-19,Wednesday,11326.650390625,11332.0498046875,11210.900390625,11234.349609375,11234.349609375,250600
2018-09-21,Friday,11271.2998046875,11346.7998046875,10866.4501953125,11143.099609375,11143.099609375,719000
2018-09-24,Monday,11164.400390625,11170.150390625,10943.599609375,10967.400390625,10967.400390625,0
2018-09-25,Tuesday,10969.9501953125,11080.599609375,10882.849609375,11067.4501953125,11067.4501953125,405000
2018-09-26,Wednesday,11145.5498046875,11145.5498046875,10993.0498046875,11053.7998046875,11053.7998046875,340500
2018-09-27,Thursday,11079.7998046875,11089.4501953125,10953.349609375,10977.5498046875,10977.5498046875,405700
2018-09-28,Friday,11008.099609375,11034.099609375,10850.2998046875,10930.4501953125,10930.4501953125,478100
2018-10-01,Monday,10930.900390625,11035.650390625,10821.5498046875,11008.2998046875,11008.2998046875,387000
2018-10-03,Wednesday,10982.7001953125,10989.0498046875,10843.75,10858.25,10858.25,386800
2018-10-04,Thursday,10754.7001953125,10754.7001953125,10547.25,10599.25,10599.25,425100
2018-10-05,Friday,10514.099609375,10540.650390625,10261.900390625,10316.4501953125,10316.4501953125,606400
2018-10-08,Monday,10310.150390625,10398.349609375,10198.400390625,10348.0498046875,10348.0498046875,456200
2018-10-09,Tuesday,10390.2998046875,10397.599609375,10279.349609375,10301.0498046875,10301.0498046875,430500
2018-10-10,Wednesday,10331.849609375,10482.349609375,10318.25,10460.099609375,10460.099609375,0
2018-10-11,Thursday,10169.7998046875,10335.9501953125,10138.599609375,10234.650390625,10234.650390625,483500
2018-10-12,Friday,10331.5498046875,10492.4501953125,10322.150390625,10472.5,10472.5,343500
2018-10-15,Monday,10524.2001953125,10526.2998046875,10410.150390625,10512.5,10512.5,259500
2018-10-16,Tuesday,10550.150390625,10604.900390625,10525.2998046875,10584.75,10584.75,265200
2018-10-17,Wednesday,10688.7001953125,10710.150390625,10436.4501953125,10453.0498046875,10453.0498046875,284800
2018-10-19,Friday,10339.7001953125,10380.099609375,10249.599609375,10303.5498046875,10303.5498046875,357500
2018-10-22,Monday,10405.849609375,10408.5498046875,10224.0,10245.25,10245.25,297300
2018-10-23,Tuesday,10152.599609375,10222.099609375,10102.349609375,10146.7998046875,10146.7998046875,302600
2018-10-24,Wednesday,10278.150390625,10290.650390625,10126.7001953125,10224.75,10224.75,351400
2018-10-25,Thursday,10135.0498046875,10166.599609375,10079.2998046875,10124.900390625,10124.900390625,0
