Date,Open,High,Low,Close,Prev_close,Change,%_change
2019-02-05,15.7225,15.9775,14.605,15.78,15.7225,0.06,0.37
2019-02-06,15.78,15.9725,12.8325,15.63,15.78,-0.15,-0.95
2019-02-07,15.63,16.2225,13.5975,15.435,15.63,-0.2,-1.25
2019-02-08,15.435,15.815,12.9675,15.5675,15.435,0.13,0.86
2019-02-11,15.5675,16.355,13.46,15.84,15.5675,0.27,1.75
2019-02-12,15.84,15.975,13.23,15.75,15.84,-0.09,-0.57
2019-02-13,15.75,15.9025,11.81,15.73,15.75,-0.02,-0.13
2019-02-14,15.73,16.5775,12.09,15.7725,15.73,0.04,0.27
2019-02-15,15.7725,17.535,12.4475,16.46,15.7725,0.69,4.36
2019-02-18,16.46,18.1925,11.85,18.0,16.46,1.54,9.36
2019-02-19,18.0,18.605,15.2575,18.4675,18.0,0.47,2.6
2019-02-20,18.4675,18.4675,15.2375,17.055,18.4675,-1.41,-7.65
2019-02-21,17.055,17.1725,12.1275,16.0525,17.055,-1.0,-5.88
2019-02-22,16.0525,16.0525,12.315,15.45,16.0525,-0.6,-3.75
2019-02-25,15.45,16.035,11.7,15.3575,15.45,-0.09,-0.6
2019-02-26,15.3575,18.0975,13.12,17.115,15.3575,1.76,11.44
2019-02-27,17.115,19.9775,14.13,18.8975,17.115,1.78,10.41
2019-02-28,18.8975,18.8975,17.065,18.2775,18.8975,-0.62,-3.28
2019-03-01,18.2775,18.2775,15.895,16.275,18.2775,-2.0,-10.96
2019-03-05,16.275,16.86,15.45,15.6575,16.275,-0.62,-3.79
2019-03-06,15.6575,15.735,14.2875,15.61,15.6575,-0.05,-0.3
2019-03-07,15.61,15.6875,14.3125,15.2925,15.61,-0.32,-2.03
2019-03-08,15.2925,15.4125,12.92,14.94,15.2925,-0.35,-2.31
2019-03-11,14.94,15.38,13.67,14.895,14.94,-0.04,-0.3
2019-03-12,14.895,15.1975,13.84,15.0975,14.895,0.2,1.36
2019-03-13,15.0975,15.595,12.3,15.2775,15.0975,0.18,1.19
2019-03-14,15.2775,15.5225,13.7625,15.15,15.2775,-0.13,-0.83
2019-03-15,15.15,16.3925,11.845,15.865,15.15,0.71,4.72
2019-03-18,15.865,17.1875,14.2675,16.9,15.865,1.03,6.52
2019-03-19,16.9,17.1775,14.55,16.4925,16.9,-0.41,-2.41
2019-03-20,16.4925,16.4925,14.485,16.0325,16.4925,-0.46,-2.79
2019-03-22,16.0325,16.805,12.675,16.275,16.0325,0.24,1.51
2019-03-25,16.275,17.0275,14.2575,16.6725,16.275,0.4,2.44
2019-03-26,16.6725,16.6725,15.5175,16.485,16.6725,-0.19,-1.12
2019-03-27,16.485,17.4225,14.545,17.0475,16.485,0.56,3.41
2019-03-28,17.0475,17.3325,15.75,16.6525,17.0475,-0.39,-2.32
2019-03-29,16.6525,17.43,16.2375,17.185,16.6525,0.53,3.2
2019-04-01,17.185,18.22,17.185,18.005,17.185,0.82,4.77
2019-04-02,18.005,18.5525,17.44,18.0825,18.005,0.08,0.43
2019-04-03,18.0825,18.8825,17.29,18.7825,18.0825,0.7,3.87
2019-04-04,18.7825,19.325,18.25,18.65,18.7825,-0.13,-0.71
2019-04-05,18.65,19.075,16.7625,18.3925,18.65,-0.26,-1.38
2019-04-08,18.3925,20.4575,18.3925,20.1525,18.3925,1.76,9.57
2019-04-09,20.1525,20.6625,16.55,20.28,20.1525,0.13,0.63
2019-04-10,20.28,21.28,18.7,21.13,20.28,0.85,4.19
2019-04-11,21.13,21.34,19.4125,20.9575,21.13,-0.17,-0.82
2019-04-12,20.9575,21.3025,18.675,20.9975,20.9575,0.04,0.19
2019-04-15,20.9975,22.24,18.76,21.3875,20.9975,0.39,1.86
2019-04-16,21.3875,21.885,19.6725,21.6925,21.3875,0.3,1.43
2019-04-18,21.6925,23.045,18.5,22.735,21.6925,1.04,4.81
2019-04-22,22.735,24.5625,20.4075,24.05,22.735,1.32,5.78
2019-04-23,24.05,26.3175,22.7775,24.645,24.05,0.59,2.47
2019-04-24,24.645,25.125,23.445,23.7125,24.645,-0.93,-3.78
2019-04-25,23.7125,25.535,22.7275,23.2325,23.7125,-0.48,-2.02
2019-04-26,23.2325,23.9625,21.4325,21.7175,23.2325,-1.52,-6.52
2019-04-30,21.7175,22.775,20.76,21.8275,21.7175,0.11,0.51
2019-05-02,21.8275,23.265,21.7675,22.9825,21.8275,1.16,5.29
2019-05-03,22.9825,24.1525,21.0975,24.0325,22.9825,1.05,4.57
2019-05-06,24.0325,27.835,19.74,26.4325,24.0325,2.4,9.99
2019-05-07,26.4325,26.81,23.0925,26.4775,26.4325,0.04,0.17
2019-05-08,26.4775,27.025,23.245,26.365,26.4775,-0.11,-0.42
2019-05-09,26.365,26.495,23.485,25.485,26.365,-0.88,-3.34
2019-05-10,25.485,26.525,24.535,26.335,25.485,0.85,3.34
2019-05-13,26.335,28.0625,23.7125,27.3825,26.335,1.05,3.98
2019-05-14,27.3825,27.76,22.39,27.1325,27.3825,-0.25,-0.91
2019-05-15,27.1325,29.0825,23.18,28.6575,27.1325,1.52,5.62
2019-05-16,28.6575,29.3275,23.7825,28.37,28.6575,-0.29,-1.0
2019-05-17,28.37,29.2325,25.4975,28.075,28.37,-0.3,-1.04
2019-05-20,28.075,28.075,19.76,23.675,28.075,-4.4,-15.67
2019-05-21,23.675,28.1025,20.2425,25.6525,23.675,1.98,8.35
2019-05-22,25.6525,30.1825,19.04,27.6325,25.6525,1.98,7.72
2019-05-23,27.6325,27.6325,18.9575,19.405,27.6325,-8.23,-29.77
2019-05-24,19.405,19.405,14.4925,16.4675,19.405,-2.94,-15.14
2019-05-27,16.4675,17.335,13.48,16.19,16.4675,-0.28,-1.69
2019-05-28,16.19,16.54,15.38,15.9225,16.19,-0.27,-1.65
2019-05-29,15.9225,16.5075,14.4775,16.4075,15.9225,0.48,3.05
2019-05-30,16.4075,16.4075,14.8525,15.61,16.4075,-0.8,-4.86
2019-05-31,15.61,16.7875,14.19,16.0675,15.61,0.46,2.93
2019-06-03,16.0675,16.2325,14.075,15.9675,16.0675,-0.1,-0.62
2019-06-04,15.9675,15.9675,14.6675,15.6275,15.9675,-0.34,-2.13
2019-06-06,15.6275,15.925,13.975,15.525,15.6275,-0.1,-0.66
2019-06-07,15.525,15.73,13.6275,14.8575,15.525,-0.67,-4.3
2019-06-10,14.8575,15.4525,13.4475,14.975,14.8575,0.12,0.79
2019-06-11,14.975,14.975,13.48,14.49,14.975,-0.48,-3.24
2019-06-12,14.49,14.71,13.31,14.1225,14.49,-0.37,-2.54
2019-06-13,14.1225,14.2925,13.2775,13.66,14.1225,-0.46,-3.27
2019-06-14,13.66,14.1175,12.6425,13.895,13.66,0.23,1.72
2019-06-17,13.895,14.96,13.52,14.65,13.895,0.76,5.43
2019-06-18,14.65,14.97,11.7375,14.6,14.65,-0.05,-0.34
2019-06-19,14.6,15.3,10.79,14.73,14.6,0.13,0.89
2019-06-20,14.73,15.1875,12.835,14.0,14.73,-0.73,-4.96
2019-06-21,14.0,14.8325,10.6025,14.61,14.0,0.61,4.36
2019-06-24,14.61,15.665,11.855,15.2225,14.61,0.61,4.19
2019-06-25,15.2225,15.585,14.9275,15.01,15.2225,-0.21,-1.4
2019-06-26,15.01,15.195,14.39,14.75,15.01,-0.26,-1.73
2019-06-27,14.75,14.8875,13.6475,14.645,14.75,-0.11,-0.71
2019-06-28,14.645,15.0725,13.995,14.9525,14.645,0.31,2.1
2019-07-01,14.9525,15.02,14.4725,14.6025,14.9525,-0.35,-2.34
2019-07-02,14.6025,14.8325,14.025,14.25,14.6025,-0.35,-2.41
2019-07-03,14.25,14.32,13.52,13.695,14.25,-0.55,-3.89
2019-07-04,13.695,13.695,13.0125,13.53,13.695,-0.17,-1.2
2019-07-05,13.53,13.965,12.665,13.065,13.53,-0.46,-3.44
2019-07-08,13.065,14.0425,12.1075,13.8525,13.065,0.79,6.03
2019-07-09,13.8525,14.22,13.3525,13.6875,13.8525,-0.16,-1.19
2019-07-10,13.6875,13.9625,12.395,13.635,13.6875,-0.05,-0.38
2019-07-11,13.635,13.635,12.1775,12.47,13.635,-1.16,-8.54
2019-07-12,12.47,12.55,11.55,11.9975,12.47,-0.47,-3.79
2019-07-15,11.9975,12.5175,10.6425,12.02,11.9975,0.02,0.19
2019-07-16,12.02,12.02,11.0625,11.56,12.02,-0.46,-3.83
2019-07-17,11.56,11.91,9.1625,11.8,11.56,0.24,2.08
2019-07-18,11.8,11.9825,9.2225,11.75,11.8,-0.05,-0.42
2019-07-19,11.75,12.675,10.5925,12.515,11.75,0.77,6.51
2019-07-22,12.515,13.4025,11.5625,13.01,12.515,0.49,3.96
2019-07-23,13.01,13.78,11.59,13.4275,13.01,0.42,3.21
2019-07-24,13.4275,14.4825,11.85,12.76,13.4275,-0.67,-4.97
2019-07-25,12.76,13.55,11.9975,12.635,12.76,-0.13,-0.98
2019-07-26,12.635,13.31,11.9225,12.1325,12.635,-0.5,-3.98
2019-07-29,12.1325,13.5325,12.0375,13.0625,12.1325,0.93,7.67
2019-07-30,13.0625,13.8675,12.5,13.6125,13.0625,0.55,4.21
2019-07-31,13.6125,14.545,13.415,13.59,13.6125,-0.02,-0.17
2019-08-01,13.59,15.28,13.2725,14.5575,13.59,0.97,7.12
2019-08-02,14.5575,16.1575,14.435,15.1875,14.5575,0.63,4.33
2019-08-05,15.1875,17.82,15.1875,16.585,15.1875,1.4,9.2
2019-08-06,16.585,16.785,15.5925,16.12,16.585,-0.46,-2.8
2019-08-07,16.12,16.9125,15.7375,16.74,16.12,0.62,3.85
2019-08-08,16.74,16.74,15.515,16.0925,16.74,-0.65,-3.87
2019-08-09,16.0925,16.1625,15.0275,15.845,16.0925,-0.25,-1.54
2019-08-13,15.845,18.005,15.1175,17.7775,15.845,1.93,12.2
2019-08-14,17.7775,17.7775,16.11,16.3575,17.7775,-1.42,-7.99
2019-08-16,16.3575,17.4275,15.9925,16.6475,16.3575,0.29,1.77
2019-08-19,16.6475,17.025,14.71,16.7475,16.6475,0.1,0.6
2019-08-20,16.7475,17.095,15.105,16.6325,16.7475,-0.11,-0.69
2019-08-21,16.6325,17.3275,14.0,17.0225,16.6325,0.39,2.34
2019-08-22,17.0225,18.1225,14.4925,17.8525,17.0225,0.83,4.88
2019-08-23,17.8525,18.2625,13.7025,17.3475,17.8525,-0.5,-2.83
2019-08-26,17.3475,19.145,13.7,16.655,17.3475,-0.69,-3.99
2019-08-27,16.655,16.8325,14.42,16.01,16.655,-0.64,-3.87
2019-08-28,16.01,17.375,14.12,16.835,16.01,0.82,5.15
2019-08-29,16.835,17.445,13.8725,16.425,16.835,-0.41,-2.44
2019-08-30,16.425,17.375,15.19,16.2825,16.425,-0.14,-0.87
