Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
14-SEP-2020,20.7125,21.74,17.5325,21.19,20.7125,0.48,2.31
15-SEP-2020,21.19,21.19,18.8975,20.5975,21.19,-0.59,-2.80
16-SEP-2020,20.5975,20.5975,16.325,19.66,20.5975,-0.94,-4.55
17-SEP-2020,19.66,20.6825,17.5525,20.1,19.66,0.44,2.24
18-SEP-2020,20.1,20.77,17.5825,20.045,20.1,-0.05,-0.27
21-SEP-2020,20.045,22.9925,18.2675,22.1875,20.045,2.14,10.69
22-SEP-2020,22.1875,23.275,15.755,21.41,22.1875,-0.78,-3.50
23-SEP-2020,21.41,22.4775,19.37,20.99,21.41,-0.42,-1.96
24-SEP-2020,20.99,23.8175,20.925,23.51,20.99,2.52,12.01
25-SEP-2020,23.51,23.51,18.6675,20.675,23.51,-2.84,-12.06
28-SEP-2020,20.675,21.0975,19.35,19.5725,20.675,-1.10,-5.33
29-SEP-2020,19.5725,20.1975,18.4275,19.775,19.5725,0.20,1.03
30-SEP-2020,19.775,20.215,17.675,19.53,19.775,-0.24,-1.24
01-OCT-2020,19.53,19.53,17.375,18.35,19.53,-1.18,-6.04
05-OCT-2020,18.35,20.025,18.35,19.705,18.35,1.35,7.38
06-OCT-2020,19.705,19.8925,18.36,19.635,19.705,-0.07,-0.36
07-OCT-2020,19.635,20.3375,19.0675,20.06,19.635,0.42,2.16
08-OCT-2020,20.06,20.855,18.9775,20.38,20.06,0.32,1.60
09-OCT-2020,20.38,21.0075,17.51,20.38,20.38,0.00,0.00
12-OCT-2020,20.38,22.1,19.39,21.1275,20.38,0.75,3.67
13-OCT-2020,21.1275,21.65,20.525,20.715,21.1275,-0.41,-1.95
14-OCT-2020,20.715,20.9625,18.425,20.21,20.715,-0.50,-2.44
15-OCT-2020,20.21,22.275,19.0375,22.0575,20.21,1.85,9.14
16-OCT-2020,22.0575,22.4175,20.485,21.645,22.0575,-0.41,-1.87
19-OCT-2020,21.645,22.3175,15.465,21.8175,21.645,0.17,0.80
20-OCT-2020,21.8175,22.7925,18.79,22.69,21.8175,0.87,4.00
21-OCT-2020,22.69,23.545,18.3775,22.915,22.69,0.22,0.99
22-OCT-2020,22.915,23.515,17.44,22.635,22.915,-0.28,-1.22
23-OCT-2020,22.635,22.78,19.8325,21.8275,22.635,-0.81,-3.57
26-OCT-2020,21.8275,23.405,21.32,22.8325,21.8275,1.00,4.60
27-OCT-2020,22.8325,23.1675,22.1225,22.195,22.8325,-0.64,-2.79
28-OCT-2020,22.195,23.465,20.08,23.28,22.195,1.09,4.89
29-OCT-2020,23.28,24.36,22.2825,24.0225,23.28,0.74,3.19
30-OCT-2020,24.0225,26.3,21.725,24.7525,24.0225,0.73,3.04
02-NOV-2020,24.7525,25.9175,24.22,25.21,24.7525,0.46,1.85
03-NOV-2020,25.21,25.3325,22.9175,24.24,25.21,-0.97,-3.85
04-NOV-2020,24.24,24.24,20.6725,23.2,24.24,-1.04,-4.29
05-NOV-2020,23.2,23.2,19.99,20.965,23.2,-2.23,-9.63
06-NOV-2020,20.965,20.965,19.2825,20.4975,20.965,-0.47,-2.23
09-NOV-2020,20.4975,21.0475,17.58,20.1125,20.4975,-0.38,-1.88
10-NOV-2020,20.1125,21.845,19.895,21.5775,20.1125,1.46,7.28
11-NOV-2020,21.5775,22.375,18.995,22.0325,21.5775,0.45,2.11
12-NOV-2020,22.0325,22.0325,19.7875,20.62,22.0325,-1.41,-6.41
13-NOV-2020,20.62,29.525,19.5575,19.7025,20.62,-0.92,-4.45
14-NOV-2020,19.7025,19.7025,16.175,19.13,19.7025,-0.57,-2.91
17-NOV-2020,19.13,20.405,18.4025,19.8025,19.13,0.67,3.52
18-NOV-2020,19.8025,19.8025,15.72,19.12,19.8025,-0.68,-3.45
19-NOV-2020,19.12,19.9825,16.325,19.57,19.12,0.45,2.35
20-NOV-2020,19.57,19.8075,16.9975,19.6175,19.57,0.05,0.24
23-NOV-2020,19.6175,20.8625,16.91,20.7975,19.6175,1.18,6.02
24-NOV-2020,20.7975,22,20.025,21.0575,20.7975,0.26,1.25
25-NOV-2020,21.0575,23.495,20.68,23.1275,21.0575,2.07,9.83
26-NOV-2020,23.1275,23.1275,19.4375,20.0225,23.1275,-3.11,-13.43
27-NOV-2020,20.0225,21.28,17.625,19.8175,20.0225,-0.21,-1.02
01-DEC-2020,19.8175,21.235,19.245,20.1825,19.8175,0.37,1.84
