Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
13-SEP-2022,17.9375,17.9375,16.8575,17.47,17.9375,-0.47,-2.61
14-SEP-2022,17.47,18.565,17.26,18.2775,17.47,0.81,4.62
15-SEP-2022,18.2775,19.215,16.78,18.3925,18.2775,0.11,0.63
16-SEP-2022,18.3925,20.2425,18.3,19.8225,18.3925,1.43,7.77
19-SEP-2022,19.8225,21.205,16.4725,19.94,19.8225,0.12,0.59
20-SEP-2022,19.94,19.94,18.1125,18.7975,19.94,-1.14,-5.73
21-SEP-2022,18.7975,20.29,18.305,19.325,18.7975,0.53,2.81
22-SEP-2022,19.325,20.1375,17.4075,18.815,19.325,-0.51,-2.64
23-SEP-2022,18.815,20.8125,17.345,20.5925,18.815,1.78,9.45
26-SEP-2022,20.5925,22.8975,18.805,21.8925,20.5925,1.30,6.31
27-SEP-2022,21.8925,22.2925,20.7875,21.5675,21.8925,-0.32,-1.48
28-SEP-2022,21.5675,22.3625,21.49,22.095,21.5675,0.53,2.45
29-SEP-2022,22.095,22.2875,21.065,21.3025,22.095,-0.79,-3.59
30-SEP-2022,21.3025,21.9875,19.6975,19.9675,21.3025,-1.33,-6.27
03-OCT-2022,19.9675,21.68,19.9675,21.365,19.9675,1.40,7.00
04-OCT-2022,21.365,21.365,19.4475,19.57,21.365,-1.79,-8.40
06-OCT-2022,19.57,20.02,18.585,19.315,19.57,-0.25,-1.30
07-OCT-2022,19.315,19.725,18.6875,18.8125,19.315,-0.50,-2.60
10-OCT-2022,18.8125,20.34,18.8125,19.6225,18.8125,0.81,4.31
11-OCT-2022,19.6225,20.8175,19.09,20.49,19.6225,0.87,4.42
12-OCT-2022,20.49,20.885,19.885,20.175,20.49,-0.31,-1.54
13-OCT-2022,20.175,20.9425,18.4025,20.29,20.175,0.11,0.57
14-OCT-2022,20.29,20.63,18.075,18.2575,20.29,-2.03,-10.02
17-OCT-2022,18.2575,19.0775,18.2575,18.4175,18.2575,0.16,0.88
18-OCT-2022,18.4175,18.4175,16.575,17.4525,18.4175,-0.96,-5.24
19-OCT-2022,17.4525,17.555,16.2275,17.4875,17.4525,0.04,0.20
20-OCT-2022,17.4875,17.7625,15.5675,17.2325,17.4875,-0.25,-1.46
21-OCT-2022,17.2325,17.4275,16.585,17.28,17.2325,0.05,0.28
24-OCT-2022,17.28,17.6725,17.07,17.4225,17.28,0.14,0.82
25-OCT-2022,17.4225,17.6175,16.49,16.88,17.4225,-0.54,-3.11
27-OCT-2022,16.88,17.07,14.79,16.5975,16.88,-0.28,-1.67
28-OCT-2022,16.5975,17.0375,15.8475,15.9225,16.5975,-0.68,-4.07
31-OCT-2022,15.9225,16.63,15.07,15.8025,15.9225,-0.12,-0.75
01-NOV-2022,15.8025,16.2025,15.1075,16.13,15.8025,0.33,2.07
02-NOV-2022,16.13,16.855,14.68,16.6625,16.13,0.53,3.30
