Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
14-SEP-2018,14.25,14.25,12.3225,13.8425,14.25,-0.41,-2.86
17-SEP-2018,13.8425,14.635,11.73,14.495,13.8425,0.65,4.71
18-SEP-2018,14.495,14.62,11.8725,14.415,14.495,-0.08,-0.55
19-SEP-2018,14.415,14.4775,11.745,14.005,14.415,-0.41,-2.84
21-SEP-2018,14.005,16.92,10.9825,15.535,14.005,1.53,10.92
24-SEP-2018,15.535,17.855,13.8025,17.4275,15.535,1.89,12.18
25-SEP-2018,17.4275,18.31,16.2175,16.6825,17.4275,-0.74,-4.27
26-SEP-2018,16.6825,17.575,15.1,17.0875,16.6825,0.40,2.43
27-SEP-2018,17.0875,17.37,15.6025,16.9225,17.0875,-0.16,-0.97
28-SEP-2018,16.9225,17.6925,15.925,16.995,16.9225,0.07,0.43
01-OCT-2018,16.995,18.8625,16.27,16.835,16.995,-0.16,-0.94
03-OCT-2018,16.835,18.6475,15.575,18.1175,16.835,1.28,7.62
04-OCT-2018,18.1175,19.685,17.485,18.915,18.1175,0.80,4.40
05-OCT-2018,18.915,20.4825,18.4525,19.7325,18.915,0.82,4.32
08-OCT-2018,19.7325,21.765,18.4775,20.1475,19.7325,0.41,2.10
09-OCT-2018,20.1475,20.3575,17.47,19.755,20.1475,-0.39,-1.95
10-OCT-2018,19.755,19.755,17.725,17.9075,19.755,-1.85,-9.35
11-OCT-2018,17.9075,20.845,17.6275,20.5475,17.9075,2.64,14.74
12-OCT-2018,20.5475,20.5475,16.6725,18.6275,20.5475,-1.92,-9.34
15-OCT-2018,18.6275,19.8225,15.9825,18.885,18.6275,0.26,1.38
16-OCT-2018,18.885,18.885,14.28,17.3725,18.885,-1.51,-8.01
17-OCT-2018,17.3725,18.2025,14.8425,17.98,17.3725,0.61,3.50
19-OCT-2018,17.98,20.0525,17.4475,19.7875,17.98,1.81,10.05
22-OCT-2018,19.7875,21.6725,17.08,21.3575,19.7875,1.57,7.93
23-OCT-2018,21.3575,22.3475,18.7625,19.0375,21.3575,-2.32,-10.86
24-OCT-2018,19.0375,19.81,17.7125,18.88,19.0375,-0.16,-0.83
25-OCT-2018,18.88,20.33,18.4975,18.9625,18.88,0.08,0.44
26-OCT-2018,18.9625,21.04,18.66,19.2325,18.9625,0.27,1.42
29-OCT-2018,19.2325,20.8125,19.2325,19.825,19.2325,0.59,3.08
30-OCT-2018,19.825,20.7725,19.55,20.5025,19.825,0.68,3.42
31-OCT-2018,20.5025,22.815,19.575,19.7975,20.5025,-0.71,-3.44
01-NOV-2018,19.7975,20.13,18.8975,19.1925,19.7975,-0.61,-3.06
02-NOV-2018,19.1925,19.1925,17.485,18.23,19.1925,-0.96,-5.01
05-NOV-2018,18.23,19.8225,17.735,19.4825,18.23,1.25,6.87
06-NOV-2018,19.4825,19.4825,16.18,18.505,19.4825,-0.98,-5.02
07-NOV-2018,18.505,18.505,16.81,17.8775,18.505,-0.63,-3.39
09-NOV-2018,17.8775,18.755,16.755,17.765,17.8775,-0.11,-0.63
12-NOV-2018,17.765,19.4625,16.475,19.3675,17.765,1.60,9.02
13-NOV-2018,19.3675,19.685,17.1225,18.695,19.3675,-0.67,-3.47
14-NOV-2018,18.695,19.5075,14.77,18.825,18.695,0.13,0.70
15-NOV-2018,18.825,18.915,15.4975,18.455,18.825,-0.37,-1.97
16-NOV-2018,18.455,18.8675,16.8975,18.35,18.455,-0.10,-0.57
19-NOV-2018,18.35,19.65,13.515,19.255,18.35,0.90,4.93
20-NOV-2018,19.255,19.6475,18.2525,19.3275,19.255,0.07,0.38
21-NOV-2018,19.3275,20.0975,15.54,19.555,19.3275,0.23,1.18
22-NOV-2018,19.555,20.0025,17.0875,19.16,19.555,-0.39,-2.02
26-NOV-2018,19.16,20.5275,15.0175,20.4025,19.16,1.24,6.48
27-NOV-2018,20.4025,20.4025,16.605,18.315,20.4025,-2.09,-10.23
28-NOV-2018,18.315,19.355,16.6725,17.96,18.315,-0.36,-1.94
29-NOV-2018,17.96,18.85,14.93,18.6975,17.96,0.74,4.11
30-NOV-2018,18.6975,19.915,16.81,19.1625,18.6975,0.46,2.49
03-DEC-2018,19.1625,19.605,16.31,18.2225,19.1625,-0.94,-4.91
04-DEC-2018,18.2225,19.62,16.905,18.1075,18.2225,-0.11,-0.63
05-DEC-2018,18.1075,18.8275,16.62,18.39,18.1075,0.28,1.56
06-DEC-2018,18.39,19.55,15.91,19.305,18.39,0.91,4.98
07-DEC-2018,19.305,19.6275,15.9825,18.59,19.305,-0.71,-3.70
10-DEC-2018,18.59,20.645,16.89,20.4375,18.59,1.85,9.94
11-DEC-2018,20.4375,20.4375,17.2025,17.945,20.4375,-2.49,-12.20
12-DEC-2018,17.945,17.945,15.4175,15.81,17.945,-2.13,-11.90
13-DEC-2018,15.81,15.905,11.9125,15.55,15.81,-0.26,-1.64
14-DEC-2018,15.55,15.5975,12.6725,15.1575,15.55,-0.39,-2.52
17-DEC-2018,15.1575,15.9125,13.8675,14.54,15.1575,-0.62,-4.07
18-DEC-2018,14.54,15.3125,11.9825,14.5775,14.54,0.04,0.26
